993.1	282
1001.7	282
1015.9	284
1030.1	282.9
1039	280.6
1041.4	282.3
1042.6	282.1
1046.7	283.9
1072.2	283.3
1076.7	284.5
1082.5	285.4
1090.4	285.4
1103	286.5
1116.9	285.3
1126.3	286.1
1143.7	284.6
1150	287.4
1169.7	286.3
1179.5	285.1
1193.7	286.5
1203.2	287.5
1205.4	284.3
1211.9	284.2
1217.6	284.1
1224.2	286.2
1235.1	283.6
1248.4	284.3
1254.8	283.2
1261.6	286.1
1270.2	284.9
1278.9	283.7
1286	284.7
1297.7	284.4
1303.1	283.8
1312	285.4
1320.3	284.4
1329	284.5
1339.1	284.9
1348.3	283.7
1356.2	284.7
1369.2	285.3
1378.7	284.1
1381.4	283.5
1391.3	285.2
1406.5	284.8
1412.8	282.5
1421.3	284.6
1428.1	282.5
1439.4	281.9
1447.3	283.5
1456.9	281.1
1467.2	283.8
1472.1	283.3
1482	282.7
1491.5	282.2
1500.4	285.3
1513.8	285.3
1519.7	285.5
1530.4	284.7
1536.1	286.3
1547.5	283.9
1553.4	285.8
1564.1	285.5
1574.3	286.4
1580.2	283.9
1586.9	283.2
1595.5	279.9
1601.4	280.9
1613.1	282.2
1620.1	278.6
1631.5	281.3
1635.5	278.8
1644.1	279.2
1669.1	278
1675.2	277.7
1683.8	279.1
1693	278.9
1698.8	279.5
1707.1	279
1716.4	278.9
1726.2	281.4
1734.6	278.7
1743.2	280.6
1750.1	280.1
1759	281.7
1770	280
1777.6	281.8
1785.7	284.2
1786.8	281.7
1796.2	283.7
1805	282.6
1805.8	284.4
1812	284.4
1824	286
1828.4	285.9
1839	285.3
1848.4	286.9
1857.6	286.7
1861.6	288.3
1871.5	289.8
1882.8	292.1
1892	294
1900.7	295.9
1909.1	300.7
1916.4	298.8
1925	303.9
1933.2	306.5
1935.4	307.1
1939.9	311.6
