1984.041	343.70
1984.126	344.50
1984.205	345.28
1984.290	347.07
1984.372	347.43
1984.456	346.79
1984.538	345.39
1984.623	343.28
1984.708	341.07
1984.790	341.35
1984.874	342.98
1984.956	344.22
1985.041	344.97
1985.126	345.99
1985.203	347.43
1985.288	348.35
1985.370	348.93
1985.455	348.25
1985.537	346.56
1985.622	344.68
1985.707	343.09
1985.789	342.80
1985.874	344.24
1985.956	345.55
1986.041	346.30
1986.126	346.95
1986.203	347.86
1986.288	349.55
1986.370	350.21
1986.455	349.55
1986.537	347.94
1986.622	345.90
1986.707	344.85
1986.789	344.17
1986.874	345.66
1986.956	346.90
1987.041	348.02
1987.126	348.47
1987.203	349.42
1987.288	350.98
1987.370	351.84
1987.455	351.26
1987.537	349.51
1987.622	348.10
1987.707	346.45
1987.789	346.36
1987.874	347.81
1987.956	348.96
1988.041	350.43
1988.126	351.73
1988.205	352.22
1988.290	353.59
1988.372	354.22
1988.456	353.79
1988.538	352.38
1988.623	350.43
1988.708	348.72
1988.790	348.88
1988.874	350.07
1988.956	351.34
1989.041	352.76
1989.126	353.07
1989.203	353.68
1989.288	355.42
1989.370	355.67
1989.455	355.12
1989.537	353.90
1989.622	351.67
1989.707	349.80
1989.789	349.99
1989.874	351.29
1989.956	352.52
1990.041	353.66
1990.126	354.70
1990.203	355.39
1990.288	356.20
1990.370	357.16
1990.455	356.23
1990.537	354.81
1990.622	352.91
1990.707	350.96
1990.789	351.18
1990.874	352.83
1990.956	354.21
1991.041	354.72
1991.126	355.75
1991.203	357.16
1991.288	358.60
1991.370	359.34
1991.455	358.24
1991.537	356.17
1991.622	354.02
1991.707	352.15
1991.789	352.21
1991.874	353.75
1991.956	354.99
1992.041	355.98
1992.126	356.72
1992.205	357.81
1992.290	359.15
1992.372	359.66
1992.456	359.25
1992.538	357.02
1992.623	355.00
1992.708	353.01
1992.790	353.31
1992.874	354.16
1992.956	355.40
1993.041	356.70
1993.126	357.16
1993.203	358.38
1993.288	359.46
1993.370	360.28
1993.455	359.60
1993.537	357.57
1993.622	355.52
1993.707	353.69
1993.789	353.99
1993.874	355.34
1993.956	356.80
1994.041	358.37
1994.126	358.91
1994.203	359.97
1994.288	361.26
1994.370	361.68
1994.455	360.95
1994.537	359.55
1994.622	357.48
1994.707	355.84
1994.789	355.99
1994.874	357.58
1994.956	359.04
1995.041	359.97
1995.126	361.00
1995.203	361.64
1995.288	363.45
1995.370	363.79
1995.455	363.26
1995.537	361.90
1995.622	359.46
1995.707	358.06
1995.789	357.76
1995.874	359.56
1995.956	360.70
1996.041	362.05
1996.126	363.25
1996.205	364.02
1996.290	364.72
1996.372	365.41
1996.456	364.97
1996.538	363.65
1996.623	361.48
1996.708	359.45
1996.790	359.60
1996.874	360.76
1996.956	362.33
1997.041	363.18
1997.126	364.00
1997.203	364.56
1997.288	366.35
1997.370	366.80
1997.455	365.63
1997.537	364.47
1997.622	362.50
1997.707	360.19
1997.789	360.77
1997.874	362.43
1997.956	364.28
1998.041	365.33
1998.126	366.15
1998.203	367.31
1998.288	368.61
1998.370	369.30
1998.455	368.87
1998.537	367.64
1998.622	365.78
1998.707	363.90
1998.789	364.23
1998.874	365.46
1998.956	366.97
1999.041	368.15
1999.126	368.87
1999.203	369.59
1999.288	371.14
1999.370	371.00
1999.455	370.35
1999.537	369.27
1999.622	366.93
1999.707	364.64
1999.789	365.13
1999.874	366.67
1999.956	368.01
2000.041	369.14
2000.126	369.46
2000.205	370.51
2000.290	371.66
2000.372	371.82
2000.456	371.70
2000.538	370.12
2000.623	368.12
2000.708	366.62
2000.790	366.73
2000.874	368.29
2000.956	369.53
2001.041	370.28
2001.126	371.50
2001.203	372.12
2001.288	372.87
2001.370	374.02
2001.455	373.31
2001.537	371.62
2001.622	369.55
2001.707	367.96
2001.789	368.10
2001.874	369.68
2001.956	371.24
2002.041	372.43
2002.126	373.09
2002.203	373.52
2002.288	374.86
2002.370	375.55
2002.455	375.40
2002.537	374.02
2002.622	371.49
2002.707	370.70
2002.789	370.25
2002.874	372.08
2002.956	373.78
2003.041	374.68
2003.126	375.62
2003.203	376.11
2003.288	377.65
2003.370	378.35
2003.455	378.13
2003.537	376.61
2003.622	374.48
2003.707	372.98
2003.789	373.00
2003.874	374.34
2003.956	375.69
2004.041	376.79
2004.126	377.36
2004.205	378.40
2004.290	380.50
2004.372	380.61
2004.456	379.55
2004.538	377.77
2004.623	375.84
2004.708	374.05
2004.790	374.22
2004.874	375.84
2004.956	377.44
2005.041	378.34
2005.126	379.66
2005.203	380.38
2005.288	382.06
2005.370	382.25
2005.455	382.08
2005.537	380.65
2005.622	378.67
2005.707	376.43
2005.789	376.82
2005.874	378.32
2005.956	379.96
2006.041	381.36
2006.126	382.02
2006.203	382.57
2006.288	384.37
2006.370	384.93
2006.455	384.03
2006.537	382.28
2006.622	380.51
2006.707	378.82
2006.789	379.07
2006.874	380.16
